year,total_stock_change,co2_removals,sawnwood_domestic_inflow,woodpanels_domestic_inflow,paper_domestic_inflow,sawnwood_domestic_stock,woodpanel_domestic_stock,paper_domestic_stock,sawnwood_domestic_stock_change,woodpanels_domestic_stock_change,paper_domestic_stock_change,domestic_stock_change,domestic_co2_removals,sawnwood_export_inflow,woodpanels_export_inflow,paper_export_inflow,sawnwood_export_stock,woodpanel_export_stock,paper_export_stock,sawnwood_export_stock_change,woodpanels_export_stock_change,paper_export_stock_change,export_stock_change,export_co2_removals
1900,0.0,-0.0,423020.68127311475,19870.369144976063,52428.14463067128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,25397.9591783017,1193.0074503285562,3196.497246833666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
1901,519577.26339807414,-1905116.632459605,429456.7636921378,20172.688485790775,53225.816883725034,425232.1729496925,19895.602368097094,44981.73336997771,425232.1729496925,19895.602368097094,44981.73336997771,490109.5086877673,-1797068.1985218134,25784.37848540171,1211.1585588126961,3245.1306131052297,25530.73607978991,1194.5224409640878,2742.496189552814,25530.73607978991,1194.5224409640878,2742.496189552814,29467.75471030681,-108048.43393779163
1902,504088.41426580935,-1848324.1856413009,435990.7684084343,20479.607488703547,54035.62538588266,848595.5316921193,39549.86169690604,77473.0002911983,423363.3587424268,19654.259328808945,32491.266921220595,475508.8849924563,-1743532.578305673,26176.677000348755,1229.58582880707,3294.503915667133,50949.26944928888,2374.554761394683,4723.459772976301,25418.533369498968,1180.032320430595,1980.9635834234869,28579.52927335305,-104791.60733562785
1903,492647.10164753674,-1806372.706040968,442624.18526872766,20791.196135645936,54857.75478508918,1270225.1567550723,58973.98302770009,101142.5862142691,421629.625062953,19424.12133079405,23669.5859230708,464723.33231681783,-1703985.551828332,26574.94417282682,1248.2934619933437,3344.628412339999,76263.7102787144,3540.769706605307,6166.57332905905,25314.44082942552,1166.2149452106241,1443.1135560827488,27923.769330718893,-102387.15421263594
1904,484111.9452837238,-1775077.1327069872,449358.5267871349,21107.525473295256,55692.39253863067,1690254.9774550137,78178.93507011066,118584.87263228293,420029.82069994137,19204.952042410572,17442.286418013828,456677.0591603657,-1674482.5502546742,26979.270813459363,1267.2857239800092,3395.5155322274736,101482.09962010685,4693.825832670852,7230.013984959132,25218.389341392452,1153.056126065545,1063.4406559000827,27434.88612335808,-100594.58245231296
1905,477675.4952726019,-1751476.8159995403,456195.32849004155,21428.667629274267,56539.728955877355,2108817.817257523,97175.45773072644,131634.52512456867,418562.8398025094,18996.52266061578,13049.652492285735,450609.01495541097,-1652233.0548365067,27389.74911451543,1286.5669452750046,3447.1768783222274,126612.41213074912,5834.367958441067,8025.639665737555,25130.312510642267,1140.5421257702146,795.625680778423,27066.480317190904,-99243.76116303331
1906,472766.4418161957,-1733476.9533260507,463136.1492662238,21754.695828597258,57399.95724167671,2526045.438594933,115974.06945204268,141589.01144305762,417227.62133741006,18798.611721316236,9954.486318488955,445980.71937721525,-1635262.6377164559,27806.472670930798,1306.1415222731314,3499.624230151601,151662.55876399582,6963.027606167556,8632.555823744764,25050.14663324671,1128.6596477264893,606.9161580072087,26785.72243898041,-98214.31560959484
1907,468980.46686441737,-1719595.0451695302,470182.5717222972,22085.68441036646,58273.27354040707,2942068.5871570683,134585.07436719362,149365.94559731995,416023.1485621352,18611.004915150945,7776.93415426233,442411.0876315484,-1622173.987982344,28229.536501648985,1326.013918258496,3552.869546463509,176640.38942846833,8080.423431070496,9106.708567238253,24977.83066447251,1117.3958249029401,474.15274349348874,26569.379232868938,-97421.0571871861
1908,466031.3486457523,-1708781.6117010918,477336.20254357404,22421.708844722365,59159.87698070124,3357017.0356707806,153018.56927575593,155614.34696187012,414948.44851371227,18433.49490856231,6248.401364550169,439630.3447868247,-1611977.930885024,28659.037071286923,1346.1886644222025,3606.924967953203,201553.69561655683,9187.161640162525,9487.668028985288,24913.306188088492,1106.7382090920291,380.9594617470357,26401.003858927557,-96803.6808160677
1909,463716.3871575144,-1700293.4195775527,484598.6728604105,22762.845750052064,60059.969720850815,3771019.627183735,171284.45044577032,160793.31238378276,414002.5915129543,18265.881170014385,5178.965421912639,437447.4381048813,-1603973.9397178981,29095.07231213027,1366.6703608955293,3661.8028200315293,226410.2130031582,10283.836400638875,9803.424934540666,24856.517386601365,1096.6747604763495,315.75690555537767,26268.949052633092,-96319.47985965466
