Area,year,industrial_roundwood_export,industrial_roundwood_import,industrial_roundwood_production,paper_export,paper_import,paper_production,sawnwood_export,sawnwood_import,sawnwood_production,woodpulp_export,woodpulp_import,woodpulp_production,woodpanels_export,woodpanels_import,woodpanels_production
Austria,1961,384100.0,586400.0,10151000.0,205000.0,5700.0,362000.0,3099700.0,30200.0,4919000.0,4700.0,600.0,688900.0,24500.0,800.0,196700.0
Austria,1962,336400.0,532900.0,9823000.0,197800.0,6700.0,357000.0,2983700.0,22300.0,4814000.0,5100.0,900.0,658600.0,22200.0,1200.0,210000.0
Austria,1963,348400.0,876700.0,8996000.0,210800.0,7200.0,378000.0,2900300.0,24900.0,4377000.0,4600.0,1300.0,684400.0,35600.0,1600.0,228600.0
Austria,1964,320100.0,898400.0,9719000.0,231500.0,7700.0,415000.0,2801400.0,34100.0,4758500.0,3800.0,4900.0,720800.0,41200.0,3400.0,262700.0
Austria,1965,272200.0,946800.0,9362000.0,254500.0,9500.0,452000.0,2891200.0,43600.0,4584000.0,2700.0,500.0,742200.0,49900.0,7600.0,295400.0
Austria,1966,316200.0,711700.0,10067000.0,355900.0,56500.0,738000.0,2806500.0,47000.0,4945000.0,1700.0,8400.0,744500.0,78244.0,8900.0,360700.0
Austria,1967,361400.0,929500.0,10062000.0,384400.0,66800.0,761000.0,2687400.0,57200.0,4878000.0,1400.0,6600.0,766500.0,92983.0,13500.0,381500.0
Austria,1968,364500.0,1130000.0,9830000.0,418100.0,69400.0,841000.0,3214200.0,55500.0,4830000.0,145000.0,63400.0,818100.0,107183.0,14000.0,422200.0
Austria,1969,438800.0,1115600.0,10699000.0,487100.0,95900.0,943000.0,3702200.0,61800.0,5268000.0,146400.0,70700.0,891500.0,195540.0,14600.0,535300.0
Austria,1970,437400.0,1978800.0,10527000.0,522100.0,112500.0,1017000.0,3421700.0,79000.0,5376000.0,132300.0,75700.0,933300.0,201277.0,19100.0,620700.0
Austria,1971,425600.0,1638500.0,11204000.0,548500.0,131700.0,1074000.0,3181400.0,100500.0,5588000.0,112100.0,85600.0,929800.0,252901.0,18300.0,723600.0
Austria,1972,388800.0,1563200.0,11448000.0,606600.0,131200.0,1193000.0,3318300.0,159100.0,5517000.0,108100.0,124200.0,939400.0,374085.0,21500.0,904800.0
Austria,1973,429800.0,2677700.0,11009000.0,701800.0,149200.0,1327000.0,3436500.0,178600.0,5765000.0,92300.0,177600.0,983400.0,492848.0,30500.0,1034000.0
Austria,1974,585000.0,3282700.0,10631000.0,740600.0,151600.0,1414000.0,3108200.0,218400.0,5694000.0,112900.0,208100.0,1035000.0,397544.0,33600.0,968000.0
Austria,1975,564800.0,2197800.0,10301000.0,656600.0,118700.0,1254000.0,2969000.0,205200.0,5002000.0,116300.0,146100.0,976000.0,374687.0,32100.0,878000.0
Austria,1976,691100.0,2318700.0,12212000.0,784600.0,171800.0,1396000.0,3909600.0,270600.0,5987000.0,147900.0,168907.0,1047000.0,592330.0,41500.0,1192000.0
Austria,1977,707900.0,2331000.0,12233000.0,788800.0,166700.0,1425000.0,3839400.0,309800.0,6286000.0,129500.0,174194.0,1134000.0,592800.0,53500.0,1215000.0
Austria,1978,725700.0,2362400.0,11733000.0,801900.0,164700.0,1434000.0,3853300.0,371200.0,5972000.0,180100.0,152700.0,1151000.0,644000.0,46200.0,1223000.0
Austria,1979,783600.0,3177900.0,12973000.0,878000.0,197000.0,1565000.0,4368200.0,470600.0,6545000.0,230900.0,140400.0,1266000.0,755000.0,54600.0,1292000.0
Austria,1980,809600.0,3708000.0,12973000.0,886000.0,214200.0,1616000.0,4384200.0,582500.0,6736000.0,248000.0,174600.0,1281000.0,757000.0,57100.0,1443000.0
Austria,1981,755900.0,3060800.0,12843000.0,995100.0,237200.0,1671000.0,3881900.0,640000.0,6426000.0,257500.0,196900.0,1255000.0,649700.0,64800.0,1268000.0
Austria,1982,630300.0,3158800.0,11986000.0,978100.0,235500.0,1708000.0,3618700.0,648400.0,5958000.0,229600.0,197900.0,1228000.0,581200.0,83600.0,1146700.0
Austria,1983,499900.0,3035400.0,12234000.0,1158400.0,272000.0,1789000.0,4267600.0,781700.0,6269000.0,240700.0,228500.0,1208000.0,618200.0,100900.0,1215900.0
Austria,1984,600600.0,2825400.0,12791000.0,1080600.0,308000.0,1922000.0,4060100.0,850300.0,6315000.0,257100.0,247200.0,1268000.0,659800.0,113300.0,1244200.0
Austria,1985,557900.0,3978300.0,11782000.0,1425700.0,328700.0,2127000.0,3682400.0,641300.0,6001000.0,286700.0,305800.0,1325000.0,752900.0,129200.0,1289500.0
Austria,1986,528500.0,3514700.0,11204000.0,1531300.0,341800.0,2183000.0,3633400.0,751900.0,5818000.0,335000.0,313800.0,1384000.0,815500.0,130500.0,1334000.0
Austria,1987,787500.0,4207800.0,11100000.0,1687000.0,359800.0,2396000.0,3807100.0,760300.0,5944000.0,297600.0,344400.0,1371000.0,863000.0,160000.0,1415000.0
Austria,1988,598300.0,4027000.0,12238000.0,2072000.0,436000.0,2650000.0,3991000.0,692200.0,6478000.0,260200.0,330000.0,1493000.0,963000.0,166400.0,1544000.0
Austria,1989,704700.0,3575000.0,13575000.0,1915800.0,614900.0,2754000.0,4359500.0,688200.0,6920000.0,246300.0,372500.0,1541000.0,1157800.0,263700.0,1612000.0
Austria,1990,1189715.0,4372609.0,14160000.0,2185000.0,536400.0,2932000.0,4179000.0,685000.0,7508900.0,206400.0,373100.0,1498000.0,1220400.0,196000.0,1752000.0
